age,income,credit_score,loan_amount,loan_term_months,loan_purpose,employment_type,education_level,debt_to_income_ratio,credit_history_years,previous_loans,interest_rate
46.0,50294.49,712.0,27184.24,36,medical,full_time,high_school,0.445,19.8,4,6.21
33.7,22276.36,558.0,1000.0,36,auto,part_time,bachelor,0.458,12.8,1,10.44
31.6,15000.0,575.0,19781.76,48,education,full_time,associates,1.0,8.5,0,10.12
44.5,42197.12,629.0,139829.34,240,home,full_time,high_school,0.744,19.4,2,6.87
24.8,37238.92,850.0,24549.12,12,education,retired,bachelor,0.992,4.2,1,6.4
21.0,26583.56,594.0,4226.58,60,medical,part_time,associates,0.2,0.0,0,9.87
47.0,52076.66,734.0,72649.93,60,business,part_time,phd,0.548,18.9,3,8.11
35.1,69893.77,608.0,33347.95,72,auto,full_time,master,0.424,4.9,2,7.96
39.6,81510.77,482.0,33219.03,48,auto,self_employed,master,0.415,13.1,3,10.94
33.8,38387.58,608.0,291540.21,360,home,full_time,master,0.602,6.1,4,7.96
36.9,39618.96,752.0,12664.38,60,personal,self_employed,high_school,0.064,13.6,1,5.93
38.0,59233.53,507.0,7455.55,48,medical,full_time,master,0.542,12.9,2,10.66
40.7,87399.12,682.0,59046.42,12,business,full_time,associates,0.97,9.9,3,8.9
29.1,61020.53,559.0,19694.86,60,medical,self_employed,associates,0.693,0.0,0,13.02
41.2,36821.7,523.0,25685.63,36,auto,retired,master,0.373,18.6,4,9.22
46.7,41158.01,693.0,25911.09,12,personal,part_time,high_school,1.0,20.1,9,9.6
42.7,67426.48,691.0,13494.35,36,business,full_time,bachelor,0.524,24.3,5,8.91
51.3,66915.02,689.0,11301.29,60,auto,self_employed,phd,0.218,30.7,8,5.58
27.1,29478.7,622.0,20712.0,36,medical,part_time,master,0.605,1.8,2,11.32
35.9,21297.32,590.0,20680.87,24,medical,retired,high_school,0.799,14.0,1,12.58
52.7,37194.35,717.0,35661.99,72,auto,part_time,associates,0.316,34.6,14,4.96
41.0,99193.61,560.0,20490.08,60,medical,self_employed,phd,0.099,13.6,2,10.04
46.6,39531.84,841.0,384341.38,240,home,self_employed,bachelor,0.991,25.7,6,6.15
50.4,37906.8,621.0,35751.64,36,business,self_employed,high_school,0.516,32.4,9,10.9
45.3,38088.11,574.0,14523.8,36,education,part_time,high_school,0.127,15.2,2,8.67
55.9,6595.3,579.0,51755.27,48,business,unemployed,bachelor,1.0,32.9,3,16.65
47.8,61657.37,520.0,37805.41,48,auto,self_employed,bachelor,0.361,29.8,6,10.34
32.5,27967.11,599.0,10285.08,60,personal,retired,associates,0.501,9.3,4,12.35
46.6,43595.54,511.0,13382.9,36,business,retired,phd,0.302,27.4,9,9.28
50.2,34909.25,596.0,30298.54,48,education,part_time,bachelor,0.677,16.3,5,10.68
31.6,40755.94,484.0,377043.15,240,home,full_time,high_school,0.716,10.6,0,9.61
33.2,3290.2,633.0,16959.73,12,education,unemployed,bachelor,1.0,5.9,0,13.82
53.9,7661.77,565.0,25880.89,48,education,unemployed,phd,0.844,35.9,3,15.06
39.4,68346.56,740.0,18941.49,12,education,self_employed,associates,0.59,7.2,1,7.78
40.8,44114.86,692.0,15434.8,36,personal,retired,high_school,0.758,17.9,5,9.34
51.7,35179.83,708.0,45268.28,24,business,self_employed,high_school,0.74,31.9,8,8.29
24.2,66707.68,771.0,11246.59,36,medical,full_time,phd,0.099,5.9,4,4.25
39.3,31854.96,666.0,27129.87,12,education,part_time,associates,1.0,12.8,2,7.1
48.5,36982.09,524.0,25221.41,24,education,retired,master,0.691,19.8,8,11.34
50.5,56029.15,639.0,7691.27,36,auto,self_employed,bachelor,0.562,30.0,9,9.63
36.6,21790.64,631.0,62093.58,12,business,self_employed,associates,1.0,4.4,0,11.18
28.7,30869.15,556.0,14498.57,24,personal,self_employed,high_school,0.678,0.0,0,14.25
33.6,18369.86,620.0,6718.06,12,education,part_time,high_school,0.583,2.6,0,9.65
40.5,5572.33,712.0,285135.43,240,home,unemployed,high_school,1.0,11.8,1,11.19
68.5,7582.88,567.0,1000.0,24,education,unemployed,bachelor,0.494,38.6,7,15.31
39.4,29354.87,587.0,8814.2,48,education,retired,master,0.322,15.5,3,8.56
68.5,66996.96,642.0,27656.31,24,medical,retired,bachelor,0.448,40.1,8,7.87
34.2,4211.49,545.0,15388.17,36,medical,unemployed,master,1.0,10.5,0,16.47
44.7,48125.65,677.0,58207.32,12,business,retired,phd,1.0,17.0,6,8.02
18.3,9000.0,623.0,225972.25,300,home,part_time,bachelor,1.0,0.0,0,7.87
39.2,20160.27,578.0,15379.19,24,education,retired,high_school,0.552,12.3,0,10.3
49.1,44763.39,716.0,127666.09,180,home,part_time,associates,0.855,15.3,6,5.88
41.0,27657.66,731.0,225442.08,180,home,part_time,high_school,0.894,14.0,1,6.6
34.9,56379.26,832.0,21969.0,24,education,full_time,master,0.446,16.0,3,4.2
40.2,8403.39,645.0,22808.99,48,auto,unemployed,master,1.0,4.2,2,14.58
46.8,29975.69,608.0,65281.34,24,business,retired,associates,1.0,26.7,5,9.44
58.1,9620.64,592.0,33291.39,36,auto,unemployed,phd,1.0,30.9,7,15.17
33.8,4523.49,681.0,7873.25,48,personal,unemployed,high_school,0.435,9.7,1,14.32
61.4,10393.31,638.0,18536.93,12,medical,unemployed,phd,1.0,30.7,9,15.77
46.3,43808.64,643.0,82129.89,36,business,full_time,high_school,0.837,25.5,6,8.04
37.1,24690.01,419.0,24457.05,48,auto,part_time,high_school,0.513,15.5,2,10.69
46.2,4339.34,601.0,25006.99,72,auto,unemployed,associates,1.0,17.8,4,13.77
39.6,43455.59,596.0,53192.91,24,business,self_employed,bachelor,0.874,21.6,4,12.34
36.9,4290.55,657.0,21665.79,12,education,unemployed,high_school,1.0,10.1,1,12.37
38.9,33035.26,587.0,127168.49,180,home,retired,high_school,0.571,13.3,2,9.48
35.5,34899.93,680.0,39171.02,48,business,part_time,bachelor,0.754,5.1,0,9.81
20.0,35648.57,546.0,25510.84,12,business,part_time,phd,1.0,0.0,0,13.38
23.0,5374.41,442.0,24653.06,360,home,unemployed,bachelor,0.371,2.9,1,14.48
65.9,10230.56,570.0,11654.86,48,personal,unemployed,master,0.392,41.4,5,16.7
48.6,5051.28,657.0,41205.33,48,auto,unemployed,associates,1.0,18.6,4,12.96
46.2,33473.59,658.0,124461.71,180,home,part_time,master,0.456,14.2,3,6.43
71.6,107064.93,732.0,114164.22,360,home,full_time,master,0.441,43.7,8,4.46
21.3,18877.88,669.0,30325.95,36,auto,retired,associates,0.672,1.0,0,8.34
37.0,46010.3,706.0,26777.01,36,auto,full_time,associates,0.294,13.9,5,5.01
45.2,57555.19,689.0,4786.01,24,medical,full_time,associates,0.179,25.4,8,4.8
46.0,56381.33,769.0,12911.78,24,education,full_time,phd,0.435,23.1,6,3.44
41.0,46669.61,615.0,340934.74,180,home,retired,associates,1.0,14.2,6,7.45
30.3,23395.47,549.0,1000.0,60,education,retired,phd,0.127,0.0,0,8.74
38.0,43630.95,838.0,18361.03,60,auto,self_employed,master,0.559,20.0,3,7.48
32.5,37086.02,634.0,38798.02,24,business,self_employed,bachelor,0.647,11.5,2,11.22
42.4,3902.94,738.0,29367.02,12,personal,unemployed,master,1.0,15.5,6,12.83
24.9,4879.1,539.0,8272.73,60,education,unemployed,high_school,0.638,3.4,0,15.67
39.8,65268.24,850.0,10753.05,24,education,full_time,high_school,0.309,20.0,10,3.9
58.4,56604.37,705.0,21296.77,60,auto,self_employed,associates,0.25,29.9,3,5.45
49.8,19865.72,632.0,15719.65,36,personal,part_time,high_school,0.677,18.1,4,10.65
43.3,6446.67,631.0,11428.53,36,education,unemployed,bachelor,0.92,23.7,3,12.89
33.3,34595.28,770.0,193424.97,300,home,retired,associates,0.44,15.3,4,3.92
51.8,44343.58,759.0,13220.7,12,personal,part_time,high_school,0.426,26.3,7,7.02
40.9,31409.94,717.0,21570.24,60,auto,retired,high_school,0.513,15.7,6,7.5
48.5,47820.1,773.0,18236.08,60,auto,retired,master,0.646,23.3,3,5.68
34.6,18302.69,592.0,1000.0,48,education,self_employed,bachelor,0.076,13.4,3,7.92
39.4,57801.66,575.0,350339.83,360,home,full_time,master,0.634,13.3,2,9.41
36.8,53108.62,649.0,126812.29,300,home,full_time,master,0.425,6.5,2,6.9
51.1,63990.06,622.0,31982.23,72,auto,self_employed,bachelor,0.442,30.6,8,8.52
35.6,4887.74,532.0,10765.61,12,education,unemployed,associates,1.0,16.2,6,15.71
27.7,33920.54,510.0,18193.78,24,medical,full_time,high_school,0.665,0.3,0,13.09
21.3,62958.54,665.0,29246.63,60,personal,full_time,associates,0.148,0.0,0,7.4
42.2,35837.44,546.0,91304.1,24,business,part_time,associates,1.0,19.2,4,11.36
39.7,64945.62,718.0,12035.09,12,personal,self_employed,high_school,0.601,0.5,0,9.92
43.8,41516.45,645.0,21458.34,24,medical,part_time,master,0.372,24.4,4,8.15
40.9,29092.61,719.0,11049.95,48,education,self_employed,high_school,0.161,13.8,3,4.74
64.9,46774.75,691.0,35302.83,48,auto,part_time,associates,0.525,38.6,4,8.1
38.4,3490.47,598.0,244839.03,240,home,unemployed,bachelor,1.0,13.5,3,14.47
45.4,6365.58,703.0,1000.0,24,medical,unemployed,master,0.819,16.1,0,13.2
53.3,36173.44,695.0,6572.68,12,medical,part_time,master,0.388,35.3,10,7.6
45.4,54936.2,718.0,17312.21,24,business,full_time,phd,0.702,16.5,2,8.35
39.2,5616.18,641.0,18375.37,36,personal,unemployed,bachelor,1.0,16.5,7,15.12
41.5,30546.5,642.0,90372.49,240,home,part_time,bachelor,0.232,23.5,4,4.78
42.0,55552.75,753.0,27271.82,12,personal,self_employed,phd,0.491,13.6,3,8.12
21.6,56369.16,520.0,33628.95,60,medical,self_employed,master,0.528,0.0,0,13.59
49.1,56615.01,675.0,14499.25,12,personal,retired,phd,0.443,22.7,4,6.94
44.8,74127.41,746.0,18966.76,60,auto,self_employed,high_school,0.113,19.1,4,5.12
20.9,38914.38,647.0,19419.92,48,education,full_time,high_school,0.458,2.7,0,9.44
41.7,78864.06,720.0,41481.75,60,business,self_employed,master,0.465,19.2,5,8.55
49.6,50064.62,806.0,25154.18,60,business,full_time,associates,0.436,20.7,5,6.31
59.5,48426.54,680.0,345949.36,360,home,self_employed,bachelor,0.285,36.1,8,4.9
46.8,54241.73,634.0,13371.36,24,education,retired,high_school,0.336,16.8,2,5.72
40.4,4979.47,671.0,303106.29,300,home,unemployed,master,1.0,17.7,5,12.46
36.9,72889.12,691.0,9552.9,12,medical,self_employed,associates,0.282,15.0,2,6.63
54.8,65976.89,725.0,6261.5,48,personal,retired,master,0.276,35.9,8,5.97
27.2,2855.25,557.0,13088.95,36,medical,unemployed,master,1.0,5.7,0,16.25
18.0,21497.21,831.0,24939.29,72,auto,part_time,associates,0.619,0.0,0,7.45
51.0,45113.56,677.0,17573.58,60,education,part_time,phd,0.278,31.0,4,4.93
42.0,5788.26,632.0,34719.02,12,education,unemployed,master,1.0,13.8,2,13.66
32.7,46287.04,661.0,30296.93,72,auto,self_employed,master,0.399,10.1,2,7.34
30.5,34533.97,542.0,7267.86,36,medical,retired,associates,0.433,2.0,1,10.97
33.2,4669.04,585.0,28797.3,24,business,unemployed,phd,1.0,5.1,0,17.08
40.0,5638.7,711.0,22596.43,24,medical,unemployed,associates,1.0,2.3,0,14.27
38.5,61206.87,631.0,5631.67,60,education,self_employed,high_school,0.5,11.9,2,9.11
18.0,21806.33,663.0,10210.88,60,auto,full_time,master,0.421,0.0,0,7.29
41.4,23303.36,729.0,23414.7,36,auto,part_time,bachelor,0.631,11.8,1,7.61
60.5,26072.33,507.0,94135.11,60,business,part_time,high_school,0.991,32.2,6,12.22
56.9,7935.86,640.0,73984.98,60,business,unemployed,high_school,1.0,32.8,5,14.32
34.5,3450.48,717.0,20572.48,48,business,unemployed,bachelor,1.0,12.9,1,13.78
43.4,26863.64,574.0,22036.74,12,medical,part_time,bachelor,1.0,24.9,3,12.32
54.7,5060.61,618.0,39556.19,48,auto,unemployed,high_school,1.0,33.4,6,14.0
64.7,5545.89,598.0,172318.67,240,home,unemployed,associates,1.0,43.8,16,14.35
39.0,5896.58,662.0,25304.79,72,auto,unemployed,high_school,0.791,16.4,4,13.06
49.0,44557.43,758.0,20385.45,36,education,retired,associates,0.432,17.9,0,5.01
28.9,45947.23,622.0,17085.3,60,medical,retired,phd,0.164,7.5,0,7.72
54.4,52774.84,652.0,50440.65,24,business,retired,phd,0.66,32.6,8,8.69
44.1,4361.42,731.0,28448.74,24,personal,unemployed,phd,1.0,24.9,4,13.41
58.5,78923.82,850.0,86250.99,24,business,retired,master,1.0,36.5,4,7.46
32.2,6268.88,671.0,1000.0,300,home,unemployed,master,0.427,5.0,1,10.56
45.8,37278.78,662.0,19614.06,36,personal,self_employed,bachelor,0.755,15.4,2,10.01
53.1,89827.28,823.0,20111.51,48,auto,full_time,associates,0.188,28.8,8,2.32
26.7,3788.84,630.0,11972.37,24,medical,unemployed,bachelor,1.0,0.9,0,15.0
45.6,42649.51,677.0,72982.41,48,business,full_time,bachelor,0.912,20.1,3,8.1
51.0,42562.97,772.0,41866.29,48,business,retired,master,0.543,22.2,1,6.19
50.6,40283.7,628.0,52009.72,48,business,part_time,high_school,0.7,17.8,4,9.44
24.0,71623.77,688.0,17783.25,48,education,full_time,associates,0.241,0.0,0,4.99
33.5,62741.4,637.0,23140.01,36,personal,full_time,phd,0.822,7.0,2,10.58
27.1,1500.0,646.0,22231.48,60,education,unemployed,phd,1.0,0.0,0,14.51
64.7,43399.71,595.0,44513.11,24,business,part_time,associates,1.0,36.5,9,11.8
50.6,7120.9,603.0,145793.23,12,business,unemployed,master,1.0,21.8,6,14.08
56.4,105453.78,758.0,21123.12,48,medical,self_employed,phd,0.321,25.3,7,5.56
33.4,3770.62,638.0,32609.05,36,auto,unemployed,bachelor,1.0,2.6,1,14.6
42.9,52613.2,663.0,17120.45,12,education,retired,phd,0.619,23.6,4,8.32
54.2,9784.24,666.0,28257.96,72,auto,unemployed,high_school,0.811,27.5,8,12.65
18.0,22524.56,712.0,19366.54,48,personal,full_time,bachelor,0.389,0.0,0,7.79
32.0,10689.93,682.0,87711.8,36,business,part_time,master,1.0,13.3,4,8.11
54.3,7015.85,633.0,17266.3,48,personal,unemployed,master,0.876,32.2,6,14.96
52.3,54896.22,723.0,70023.82,12,business,full_time,master,1.0,31.5,8,7.43
38.9,53801.95,679.0,20675.61,24,personal,full_time,associates,0.427,16.5,2,7.57
50.7,48229.83,711.0,161352.33,240,home,full_time,high_school,0.518,22.4,3,4.96
36.4,24349.14,697.0,23400.88,24,education,full_time,bachelor,0.651,13.6,3,7.85
48.8,30643.01,647.0,35986.9,12,business,part_time,bachelor,1.0,24.0,3,10.33
47.7,39919.26,850.0,1000.0,36,business,part_time,associates,0.205,29.7,9,4.52
36.9,11133.55,655.0,16146.71,60,education,part_time,master,0.812,15.0,2,7.53
24.2,15450.75,622.0,11565.58,12,personal,part_time,high_school,0.945,0.0,0,11.46
21.9,44949.86,662.0,3339.59,60,personal,full_time,associates,0.268,0.0,0,7.16
56.1,5900.05,625.0,13718.94,24,medical,unemployed,phd,1.0,32.2,7,14.12
31.5,12665.51,478.0,2326.91,24,medical,retired,high_school,0.432,9.0,2,10.57
32.6,31073.85,668.0,8341.65,60,medical,self_employed,high_school,0.054,3.2,0,7.15
38.4,33244.9,625.0,134999.74,300,home,retired,high_school,0.488,15.6,3,7.95
42.8,6661.58,640.0,10100.5,36,medical,unemployed,associates,0.86,12.1,0,14.55
19.6,15137.03,839.0,11114.79,36,medical,retired,high_school,0.251,0.0,0,5.43
55.4,6702.3,684.0,105206.51,12,business,unemployed,high_school,1.0,25.7,9,12.35
59.0,103235.14,634.0,26856.18,48,medical,self_employed,phd,0.327,28.0,4,8.66
56.7,6031.57,599.0,8165.62,60,auto,unemployed,bachelor,0.45,36.6,7,15.01
46.6,39057.34,614.0,46711.71,48,business,retired,associates,0.586,19.7,1,9.77
59.2,70132.61,656.0,20575.64,36,personal,retired,phd,0.348,40.0,10,7.08
37.4,67785.94,593.0,8012.72,48,personal,full_time,bachelor,0.14,8.0,2,8.96
42.9,8598.22,545.0,1000.0,60,education,unemployed,bachelor,0.28,23.4,3,13.88
71.7,88053.63,718.0,246769.32,360,home,self_employed,phd,0.556,47.2,10,7.03
52.6,31917.09,574.0,69193.62,24,business,part_time,master,1.0,28.8,10,10.49
37.7,72565.98,730.0,1000.0,36,personal,self_employed,master,0.403,13.6,0,9.18
37.1,61472.13,760.0,11720.32,12,education,self_employed,associates,0.379,17.8,3,5.13
33.6,34118.78,685.0,271565.82,240,home,part_time,associates,0.761,5.6,4,7.19
29.4,4468.03,555.0,9598.57,24,education,unemployed,phd,1.0,0.5,0,16.05
40.4,7267.25,580.0,43416.69,12,business,unemployed,phd,1.0,15.4,1,16.62
31.5,25817.66,575.0,33729.19,72,auto,self_employed,high_school,0.423,5.7,1,10.85
21.5,31522.73,648.0,15185.11,60,medical,self_employed,bachelor,0.148,2.5,1,8.3
52.0,10707.02,517.0,9808.69,60,education,unemployed,master,0.512,21.5,7,15.79
